wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,688.0,688.0,688.0,688.0,688.0,688.0,699.0,743.0,743.0,688.0,767.0
2.0,20.0,0.0,661.0,661.0,668.0,661.0,661.0,661.0,670.0,752.0,752.0,661.0,765.0
2.0,20.0,0.0,639.0,640.0,640.0,640.0,639.0,640.0,640.0,758.0,758.0,639.0,758.0
3.0,20.0,0.0,787.0,787.0,808.0,808.0,801.0,787.0,785.0,882.0,882.0,785.0,914.0
3.0,20.0,0.0,787.0,787.0,808.0,808.0,801.0,787.0,785.0,882.0,882.0,785.0,914.0
3.0,20.0,0.0,755.0,771.0,755.0,755.0,755.0,771.0,762.0,867.0,867.0,755.0,908.0
4.0,20.0,0.0,891.0,891.0,927.0,926.0,901.0,891.0,924.0,1001.0,1001.0,888.0,1011.0
4.0,20.0,0.0,856.0,857.0,871.0,871.0,853.0,857.0,873.0,974.0,974.0,853.0,1008.0
4.0,20.0,0.0,856.0,857.0,871.0,871.0,853.0,857.0,873.0,974.0,974.0,853.0,1006.0
2.0,22.0,2.0,649.0,649.0,652.0,652.0,0.0,0.0,656.0,668.0,682.0,643.0,740.0
2.0,22.0,2.0,630.0,630.0,628.0,628.0,0.0,0.0,628.0,684.0,661.0,624.0,744.0
2.0,22.0,2.0,601.0,601.0,601.0,601.0,0.0,0.0,601.0,688.0,626.0,597.0,731.0
3.0,22.0,2.0,761.0,792.0,747.0,747.0,0.0,0.0,757.0,822.0,809.0,742.0,887.0
3.0,22.0,2.0,761.0,792.0,747.0,747.0,0.0,0.0,757.0,822.0,809.0,742.0,883.0
3.0,22.0,2.0,731.0,728.0,719.0,719.0,0.0,0.0,723.0,819.0,764.0,714.0,874.0
4.0,22.0,2.0,840.0,840.0,849.0,849.0,0.0,0.0,853.0,940.0,940.0,808.0,973.0
4.0,22.0,2.0,840.0,840.0,849.0,849.0,0.0,0.0,853.0,940.0,940.0,808.0,977.0
4.0,22.0,2.0,820.0,805.0,821.0,808.0,0.0,0.0,799.0,920.0,920.0,781.0,970.0
2.0,24.0,4.0,612.0,612.0,611.0,611.0,0.0,0.0,611.0,632.0,646.0,608.0,712.0
2.0,24.0,4.0,592.0,592.0,592.0,592.0,0.0,0.0,592.0,646.0,616.0,586.0,716.0
2.0,24.0,4.0,566.0,566.0,563.0,563.0,0.0,0.0,563.0,648.0,590.0,562.0,706.0
3.0,24.0,4.0,737.0,737.0,734.0,734.0,0.0,0.0,736.0,743.0,794.0,720.0,858.0
3.0,24.0,4.0,711.0,741.0,714.0,714.0,0.0,0.0,714.0,735.0,752.0,696.0,851.0
3.0,24.0,4.0,685.0,701.0,691.0,691.0,0.0,0.0,704.0,722.0,722.0,673.0,844.0
4.0,24.0,4.0,827.0,820.0,841.0,841.0,0.0,0.0,838.0,850.0,916.0,789.0,941.0
4.0,24.0,4.0,793.0,791.0,817.0,817.0,0.0,0.0,798.0,828.0,898.0,767.0,945.0
4.0,24.0,4.0,793.0,791.0,817.0,817.0,0.0,0.0,798.0,828.0,898.0,769.0,941.0
