wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,2.0576803207532136e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,3.27627774114308e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,3.27627774114308e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,1.448239970851359e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,20.0,0.0,0.30611802267701194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,20.0,0.0,0.1392466558338841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,20.0,0.0,0.1392466558338841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,2.0,1.629918819888175e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,2.0,1.192936387342846e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,2.0,1.192936387342846e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,22.0,2.0,0.48548612188437706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022201270168821747
4.0,22.0,2.0,0.48548612188437706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02245977353992998
4.0,22.0,2.0,0.3664548592779858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02529050414573578
2.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,4.0,1.4291242949301327e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,4.0,0.09743044841999934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021235078053260466
3.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,24.0,4.0,0.59213631333227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14817073170731596
4.0,24.0,4.0,0.4622964396949651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734457965255842
4.0,24.0,4.0,0.4622934405047659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17345687897324938
